participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.invest,player.reciprocate,player.payoff_RA,player.payoff_ppt,player.participant_number,player.block_profits,player.total_profits,player.condition_number,player.payoff,group.id_in_subsession,group.invest,group.reciprocate,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
2,stx7n4xc,,0,0,336,,,,0,,,0.00,2,,,,,,0.00,0.00,1,0.00,1,,,8,432c1vzh,,,,,,1
1,39bu5j3p,,0,0,336,,,,0,,,0.00,1,,,,,,0.00,0.00,1,0.00,1,,,9,432c1vzh,,,,,,1
2,stx7n4xc,,0,0,336,,,,0,,,0.00,2,,,,,,0.00,0.00,1,0.00,1,,,9,432c1vzh,,,,,,1
1,39bu5j3p,,0,0,336,,,,0,,,0.00,1,,,,,,0.00,0.00,1,0.00,1,,,10,432c1vzh,,,,,,1
2,stx7n4xc,,0,0,336,,,,0,,,0.00,2,,,,,,0.00,0.00,1,0.00,1,,,10,432c1vzh,,,,,,1
1,39bu5j3p,,0,0,336,,,,0,,,0.00,1,,,,,,0.00,0.00,1,0.00,1,,,11,432c1vzh,,,,,,1
2,stx7n4xc,,0,0,336,,,,0,,,0.00,2,,,,,,0.00,0.00,1,0.00,1,,,11,432c1vzh,,,,,,1
1,39bu5j3p,,0,0,336,,,,0,,,0.00,1,,,,,,0.00,0.00,1,0.00,1,,,12,432c1vzh,,,,,,1
2,stx7n4xc,,0,0,336,,,,0,,,0.00,2,,,,,,0.00,0.00,1,0.00,1,,,12,432c1vzh,,,,,,1
1,39bu5j3p,,0,0,336,,,,0,,,0.00,1,,,,,,0.00,0.00,1,0.00,1,,,13,432c1vzh,,,,,,1
2,stx7n4xc,,0,0,336,,,,0,,,0.00,2,,,,,,0.00,0.00,1,0.00,1,,,13,432c1vzh,,,,,,1
1,39bu5j3p,,0,0,336,,,,0,,,0.00,1,,,,,,0.00,0.00,1,0.00,1,,,14,432c1vzh,,,,,,1
2,stx7n4xc,,0,0,336,,,,0,,,0.00,2,,,,,,0.00,0.00,1,0.00,1,,,14,432c1vzh,,,,,,1
1,39bu5j3p,,0,0,336,,,,0,,,0.00,1,,,,,,0.00,0.00,1,0.00,1,,,15,432c1vzh,,,,,,1
2,stx7n4xc,,0,0,336,,,,0,,,0.00,2,,,,,,0.00,0.00,1,0.00,1,,,15,432c1vzh,,,,,,1
1,39bu5j3p,,0,0,336,,,,0,,,0.00,1,,,,,,0.00,0.00,1,0.00,1,,,16,432c1vzh,,,,,,1
2,stx7n4xc,,0,0,336,,,,0,,,0.00,2,,,,,,0.00,0.00,1,0.00,1,,,16,432c1vzh,,,,,,1
1,39bu5j3p,,0,0,336,,,,0,,,0.00,1,,,,,,0.00,0.00,1,0.00,1,,,17,432c1vzh,,,,,,1
2,stx7n4xc,,0,0,336,,,,0,,,0.00,2,,,,,,0.00,0.00,1,0.00,1,,,17,432c1vzh,,,,,,1
1,39bu5j3p,,0,0,336,,,,0,,,0.00,1,,,,,,0.00,0.00,1,0.00,1,,,18,432c1vzh,,,,,,1
2,stx7n4xc,,0,0,336,,,,0,,,0.00,2,,,,,,0.00,0.00,1,0.00,1,,,18,432c1vzh,,,,,,1
1,39bu5j3p,,0,0,336,,,,0,,,0.00,1,,,,,,0.00,0.00,1,0.00,1,,,19,432c1vzh,,,,,,1
2,stx7n4xc,,0,0,336,,,,0,,,0.00,2,,,,,,0.00,0.00,1,0.00,1,,,19,432c1vzh,,,,,,1
1,39bu5j3p,,0,0,336,,,,0,,,0.00,1,,,,,,0.00,0.00,1,0.00,1,,,20,432c1vzh,,,,,,1
2,stx7n4xc,,0,0,336,,,,0,,,0.00,2,,,,,,0.00,0.00,1,0.00,1,,,20,432c1vzh,,,,,,1
1,39bu5j3p,,0,0,336,,,,0,,,0.00,1,,,,,,0.00,0.00,1,0.00,1,,,21,432c1vzh,,,,,,1
2,stx7n4xc,,0,0,336,,,,0,,,0.00,2,,,,,,0.00,0.00,1,0.00,1,,,21,432c1vzh,,,,,,1
1,39bu5j3p,,0,0,336,,,,0,,,0.00,1,,,,,,0.00,0.00,1,0.00,1,,,22,432c1vzh,,,,,,1
2,stx7n4xc,,0,0,336,,,,0,,,0.00,2,,,,,,0.00,0.00,1,0.00,1,,,22,432c1vzh,,,,,,1
1,39bu5j3p,,0,0,336,,,,0,,,0.00,1,,,,,,0.00,0.00,1,0.00,1,,,23,432c1vzh,,,,,,1
2,stx7n4xc,,0,0,336,,,,0,,,0.00,2,,,,,,0.00,0.00,1,0.00,1,,,23,432c1vzh,,,,,,1
1,39bu5j3p,,0,0,336,,,,0,,,0.00,1,,,,,,0.00,0.00,1,0.00,1,,,24,432c1vzh,,,,,,1
2,stx7n4xc,,0,0,336,,,,0,,,0.00,2,,,,,,0.00,0.00,1,0.00,1,,,24,432c1vzh,,,,,,1
1,39bu5j3p,,0,0,336,,,,0,,,0.00,1,,,,,,0.00,0.00,1,0.00,1,,,25,432c1vzh,,,,,,1
2,stx7n4xc,,0,0,336,,,,0,,,0.00,2,,,,,,0.00,0.00,1,0.00,1,,,25,432c1vzh,,,,,,1
